;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Contenaire;Réf Exportateur;Réf dossier;Date_départ;Date arrivée;Palette;Calibre;Poids_com;Emballage;Code emb;Client;Code client;Destination;Code;Verger;Versement;Bdq;Variete;Code Variete;Producteur;Code Producteur;Exportateur;Code Exportateur;Nbr col;Poids net;Type transport;Client.1;heure départ;Période;Exportateur.1;Contenaire.1;Transitaire local;Ville de départ;Pays;Destination.1;Etat;Date de la commande;Date de livraison;Date prévue;État de la facture;Devise/Afficher Nom;Col;CU LOG; Logistique ; Montant_Prest ; Mt export_dev ;Mt_MAD; Poins net ; Bilan Matière.MS_U par semaine ; Bilan Matière.DépDevU ; Bilan Matière.CA_DEV_U ; Bilan Matière.Trasnp_U ; Bilan Matière.Drencher_U ; CU CIRE ; Electricité ; Gasoil ; propane ; Maintenance ; Mt Transport ; mt.Maintenance ; PropaneMt ; Gasoilmt ; Elect_Mt ; Cire_Mt ; Drench_Mt ; CA_DEV_Mt ; Dev_Dep_Mt ; MS_Mt 
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026774;5;240;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;16;240,16;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;240;;;240,16;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;47,72449398;16,55744641;4,8032;6,810504156;9,6064;10,91552041;179,1782149;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026774;5;240;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;16;240,16;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;240;;;898,84;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;204,7120172;61,96908367;17,9768;6,810504156;35,9536;10,91552041;251,3544321;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026774;5;840;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;56;898,84;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;840;;;240,16;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;47,72449398;16,55744641;4,8032;25,48948016;9,6064;40,85320771;179,1782149;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026774;5;840;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;56;898,84;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;840;;;898,84;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;204,7120172;61,96908367;17,9768;25,48948016;35,9536;40,85320771;251,3544321;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026775;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1140;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1140;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;259,6365311;78,59547348;22,8;32,32834251;45,6;51,81417916;318,7931696;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026776;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1142;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1142;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;260,0920338;78,73336028;22,84;32,3850589;45,68;51,90508122;319,3524559;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026777;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1139;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1139;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;259,4087797;78,52653008;22,78;32,29998432;45,56;51,76872812;318,5135265;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026778;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1126;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1126;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;256,4480123;77,63026591;22,52;31,93132778;45,04;51,17786467;314,8781658;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026779;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1120;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1120;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;255,0815042;77,21660552;22,4;31,76117861;44,8;50,90515847;313,200307;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026827;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1122;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1122;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;255,5370069;77,35449232;22,44;31,817895;44,88;50,99606054;313,7595932;;;
