Date,Open,High,Low,Close,Adj Close,Volume
2015-10-13,27.705000,28.112499,27.670000,27.947500,25.518631,132197200
2015-10-14,27.822500,27.879999,27.389999,27.552500,25.157963,177849600
2015-10-15,27.732500,28.025000,27.622499,27.965000,25.534613,150694000
2015-10-16,27.945000,28.000000,27.632500,27.760000,25.347431,156930400
2015-10-19,27.700001,27.937500,27.527500,27.932501,25.504938,119036800
2015-10-20,27.834999,28.542500,27.705000,28.442499,25.970612,195871200
2015-10-21,28.500000,28.895000,28.424999,28.440001,25.968328,167180800
2015-10-22,28.582500,28.875000,28.525000,28.875000,26.365532,166616400
2015-10-23,29.174999,29.807501,29.082500,29.770000,27.182745,237467600
2015-10-26,29.520000,29.532499,28.730000,28.820000,26.315302,265335200
2015-10-27,28.850000,29.135000,28.497499,28.637501,26.148668,279537600
2015-10-28,29.232500,29.825001,29.014999,29.817499,27.226114,342205600
2015-10-29,29.674999,30.172501,29.567499,30.132500,27.513741,204909200
2015-10-30,30.247499,30.305000,29.862499,29.875000,27.278622,197461200
2015-11-02,30.200001,30.340000,29.902500,30.295000,27.662119,128813200
2015-11-03,30.197500,30.872499,30.174999,30.642500,27.979420,182076000
2015-11-04,30.782499,30.955000,30.405001,30.500000,27.849297,179544400
2015-11-05,30.462500,30.672501,30.045000,30.230000,27.720922,158210800
2015-11-06,30.277500,30.452499,30.155001,30.264999,27.753012,132169200
2015-11-09,30.240000,30.452499,30.012501,30.142500,27.640680,135485600
2015-11-10,29.225000,29.517500,29.014999,29.192499,26.769531,236511600
2015-11-11,29.092501,29.355000,28.802500,29.027500,26.618223,180872000
2015-11-12,29.065001,29.205000,28.912500,28.930000,26.528818,130102400
2015-11-13,28.799999,28.892500,28.067499,28.084999,25.753954,183249600
2015-11-16,27.844999,28.559999,27.750000,28.545000,26.175772,152426800
2015-11-17,28.730000,28.762501,28.330000,28.422501,26.063444,110467600
2015-11-18,28.940001,29.372499,28.875000,29.322500,26.888742,186698800
2015-11-19,29.410000,29.937500,29.190001,29.695000,27.230324,173183200
2015-11-20,29.799999,29.980000,29.712500,29.825001,27.349539,137148400
2015-11-23,29.817499,29.932501,29.334999,29.437500,26.994198,129930000
2015-11-24,29.332500,29.837500,29.280001,29.719999,27.253250,171212800
2015-11-25,29.802500,29.807501,29.480000,29.507500,27.058388,85553200
2015-11-27,29.572500,29.602501,29.400000,29.452499,27.007954,52185600
2015-11-30,29.497499,29.852501,29.437500,29.575001,27.120285,156721200
2015-12-01,29.687500,29.702499,29.215000,29.334999,26.900204,139409600
2015-12-02,29.334999,29.527500,29.020000,29.070000,26.657198,133546400
2015-12-03,29.137501,29.197500,28.555000,28.799999,26.409609,166278000
2015-12-04,28.822500,29.812500,28.777500,29.757500,27.287642,231108000
2015-12-07,29.745001,29.965000,29.452499,29.570000,27.115696,128336800
2015-12-08,29.379999,29.650000,29.215000,29.557501,27.104239,137238000
2015-12-09,29.410000,29.422501,28.770000,28.905001,26.505892,185445600
2015-12-10,29.010000,29.235001,28.877501,29.042500,26.631983,116850800
2015-12-11,28.797501,28.847500,28.212500,28.295000,25.946526,187544800
2015-12-14,28.045000,28.170000,27.447500,28.120001,25.786049,257274800
2015-12-15,27.985001,28.200001,27.587500,27.622499,25.329840,213292400
2015-12-16,27.767500,27.997499,27.200001,27.834999,25.524704,224954000
2015-12-17,28.004999,28.062500,27.245001,27.245001,24.983675,179091200
2015-12-18,27.227501,27.379999,26.452499,26.507500,24.307386,385813200
2015-12-21,26.820000,26.842501,26.392500,26.832500,24.605412,190362400
2015-12-22,26.850000,26.930000,26.612499,26.807501,24.582487,131157600
2015-12-23,26.817499,27.212500,26.799999,27.152500,24.898851,130629600
